title,authors,average_rating,language_code,num_pages,ratings_count,publication_date
Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,en-US,320,352,11/1/2005
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,eng,331,9852,3/7/2006
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,eng,244,821,8/10/2004
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,eng,215,731,3/8/2005
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,eng,191,2897,8/10/2004
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,eng,144,98,10/3/1990
I am Charlotte Simmons,Tom Wolfe,3.42,eng,738,20888,8/30/2005
Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,eng,48,66,10/1/2001
The Puffin Book of Nonsense Verse,Quentin Blake,4.02,eng,287,81,10/3/1996
Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,eng,217,981,2/1/1964
Quiet Days in Clichy,Henry Miller,3.69,eng,154,3381,1/13/1994
Tropic of Capricorn,Henry Miller,3.78,eng,348,14872,1/13/1994
Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,eng,316,3261,1/13/1994
Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,eng,506,7805,1/12/1994
The Air-Conditioned Nightmare,Henry Miller,3.83,eng,292,2699,1/17/1970
The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,eng,635,392,1/16/2004
Writing,Marguerite Duras,3.75,eng,91,778,5/6/1999
The War,Marguerite Duras/Barbara Bray,3.85,eng,192,963,8/1/1994
The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,en-US,181,2057,3/12/1986
Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,eng,178,203,7/1/1999
Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,en-US,272,56,9/3/2002
Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,eng,232,91,1/31/2006
100 Years of Lynchings,Ralph Ginzburg,4.61,eng,270,88,11/22/1996
On Beyond Zebra!,Dr. Seuss,4.04,eng,64,2815,9/12/1955
The Wedding Clause,Debbie Raleigh,3.6,eng,256,95,6/7/2005
The Zebra Wall,Kevin Henkes,3.44,eng,147,217,2/15/2005
The Door Into Summer,Robert A. Heinlein,4.01,eng,304,17232,6/17/1997
Stranger in a Strange Land,Robert A. Heinlein,3.92,eng,528,251872,10/1/1991
To Sail Beyond the Sunset,Robert A. Heinlein,3.87,en-US,434,10293,6/1/1988
Job: A Comedy of Justice,Robert A. Heinlein,3.78,en-US,439,15970,10/12/1985
Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,eng,256,6898,8/8/2006
The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,en-US,307,67803,2/15/1991
The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,eng,298,22091,4/26/2005
Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,eng,368,2623,12/27/2005
Douglas Adams's Starship Titanic,Terry Jones,3.6,eng,256,885,10/27/1998
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,eng,336,5,7/1/2003
The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,eng,72,100,1/12/2011
On Bullshit,Harry G. Frankfurt,3.57,eng,67,9358,1/30/2005
Another Bullshit Night in Suck City,Nick Flynn,3.78,eng,347,9318,9/12/2005
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,en-US,317,120,6/12/1993
The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,eng,32,5239,2/2/1998
Underworld,Don DeLillo,3.92,eng,827,1505,7/9/1998
Libra,Don DeLillo,3.99,eng,480,11857,5/1/1991
Americana,Don DeLillo,3.43,eng,377,393,7/6/1989
Running Dog,Don DeLillo,3.43,eng,256,1356,7/17/1989
Cosmopolis,Don DeLillo,3.22,eng,224,460,4/6/2004
Great Jones Street,Don DeLillo,3.48,eng,272,2492,1/1/1994
The Names,Don DeLillo,3.64,eng,339,3100,7/17/1989
Against the Day,Thomas Pynchon,4.13,eng,1085,5296,11/21/2006
V.,Thomas Pynchon,3.96,eng,547,1415,7/5/2005
The Crying of Lot 49,Thomas Pynchon,3.69,eng,152,2161,4/1/1999
Gravity's Rainbow,Thomas Pynchon,4.01,eng,776,29764,10/31/2006
Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,eng,773,8086,1/3/2004
Vineland,Thomas Pynchon,3.69,en-US,385,702,9/1/1997
Slow Learner: Early Stories,Thomas Pynchon,3.5,eng,193,334,4/30/1985
The Year of Magical Thinking,Joan Didion,3.89,en-US,227,2656,10/4/2005
The White Album,Joan Didion,4.17,eng,222,11889,10/1/1990
A Book of Common Prayer,Joan Didion,3.8,eng,272,2962,4/11/1995
Where I Was From,Joan Didion,3.86,eng,240,2842,9/14/2004
Slouching Towards Bethlehem,Joan Didion,4.21,eng,238,26934,10/1/1990
Democracy,Joan Didion,3.81,en-US,234,2070,4/25/1995
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.5,eng,1122,1564,10/17/2006
Play It As It Lays,Joan Didion/David Thomson,3.87,eng,231,23656,11/15/2005
The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89,eng,308,43200,3/28/2006
City of Glass (The New York Trilogy  #1),Paul Auster,3.79,eng,203,12410,4/7/1987
Ghosts (The New York Trilogy  #2),Paul Auster,3.64,eng,96,3672,7/7/1987
The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,eng,179,2998,11/1/1986
Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,3.89,eng,256,74,1/1/1995
The Brooklyn Follies,Paul Auster,3.84,eng,306,17977,10/17/2006
Moon Palace,Paul Auster,3.94,eng,320,16099,4/1/1990
The Music of Chance,Paul Auster,3.9,en-US,217,361,12/1/1991
Travels in the Scriptorium,Paul Auster,3.23,eng,145,6688,1/23/2007
Leviathan,Paul Auster,3.96,eng,275,11744,9/1/1993
The Red Notebook: True Stories,Paul Auster,3.77,eng,104,2390,6/17/2002
Timbuktu / Leviathan / Moon Palace,Paul Auster,4.38,fre,1075,21,11/7/2002
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,eng,608,52522,12/27/2005
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,3.4,en-US,211,213,2/1/2006
Collapse of Complex Societies,Joseph A. Tainter,4.15,eng,262,719,3/29/1990
Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.8,eng,544,4762,8/7/2001
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.91,eng,272,62,1/29/2002
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,4.39,eng,576,278,9/17/1998
My Inventions,Nikola Tesla,4.01,eng,88,2862,5/17/2006
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,3.78,eng,542,2829,2/1/2001
Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.93,eng,144,105,10/1/1994
Tesla Papers,Nikola Tesla/David Hatcher Childress,4.13,eng,100,102,12/1/2000
Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,3.77,eng,249,478,6/27/2006
Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,4.03,en-US,828,1577,10/11/2004
Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,3.95,eng,112,73,6/13/2000
Lord of the Flies,William Golding,3.68,eng,6,408,10/11/2005
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,eng,397,1693,9/12/2006
We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,4.14,eng,216,1,1/1/1989
The Lovely Bones,Alice Sebold,3.81,en-US,532,367,4/1/2004
Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.8,eng,224,1371,5/13/1990
The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,3.98,en-US,296,793,2/17/2005
HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.8,en-US,456,549,8/1/2006
1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,3.85,mul,575,288,5/15/2005
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.81,eng,245,26381,6/13/2006
Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.73,eng,272,62089,7/2/2004
Vice (V  #8),Jane Feather,3.51,eng,419,474,5/2/1996
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,3.77,eng,540,166046,4/25/2006
Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,4.08,eng,32,1773,4/1/2005
Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,3.72,en-GB,408,286,11/19/1990
Motorcycle Basics Techbook,John Harold Haynes,3.85,eng,222,40,7/5/2002
LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,3.93,eng,191,27,9/1/2004
The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,4.11,eng,304,7300,4/1/2003
War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,4.11,eng,1392,211671,6/25/1998
The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,4.13,eng,352,2403,9/8/2006
Atlas Shrugged,Ayn Rand/Leonard Peikoff,3.69,eng,1168,322483,8/1/1999
For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,3.68,eng,224,2750,12/1/1963
The Fountainhead,Ayn Rand/Leonard Peikoff,3.87,eng,704,271754,9/1/1996
The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,3.51,eng,176,11462,11/1/1964
Anthem,Ayn Rand,3.63,eng,105,110952,12/1/1999
We the Living,Ayn Rand/Leonard Peikoff,3.91,eng,464,23199,1/1/1996
Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,3.88,eng,340,3501,7/15/1986
Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,3.96,eng,681,18,2/1/1997
Sailing for Dummies,J.J. Isler/Peter Isler,3.95,eng,416,150,6/1/2006
Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,3.88,eng,368,646,7/25/2006
Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23,eng,192,12180,9/17/2002
The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,3.62,eng,286,51,4/1/2004
"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,3.09,en-US,571,1601,1/1/2004
The Natural,Bernard Malamud/Kevin Baker,3.63,eng,231,8854,7/7/2003
Digging to America,Anne Tyler,3.55,eng,277,17155,5/2/2006
Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,3.77,eng,826,44,1/21/2004
Modern Latin America,Thomas E. Skidmore/Peter H. Smith,3.59,en-US,528,234,10/7/2004
The Plot Against America,Philip Roth,3.77,eng,391,33321,9/27/2005
Naked Pictures of Famous People,Jon   Stewart,3.59,en-GB,164,8703,9/22/1999
The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,4.07,eng,425,32569,9/2/2004
Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,4.29,eng,288,37,5/15/2005
The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,3.75,eng,363,1,4/1/2006
Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,3.83,eng,128,11,9/1/2004
Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,4.03,spa,480,0,5/1/2006
Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,0.0,eng,295,0,9/1/2001
Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,3.88,eng,287,6870,4/4/2006
Cryptonomicon,Neal Stephenson,4.25,eng,1139,83184,11/1/2002
Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,4.1,fre,418,5,3/31/2001
The Confusion (The Baroque Cycle  #2),Neal Stephenson,4.26,en-US,815,19320,6/14/2005
Quicksilver (The Baroque Cycle  #1),Neal Stephenson,3.93,eng,927,30872,9/21/2004
The Cobweb,Neal Stephenson/J. Frederick George,3.61,eng,448,2465,5/31/2005
The Big U,Neal Stephenson,3.25,en-US,308,4657,2/6/2001
The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,4.19,eng,499,71042,5/2/2000
Interface,Neal Stephenson/George F. Jewsbury/Stephen  Bury,3.68,eng,640,4731,5/31/2005
Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,4.2,en-US,464,1567,3/28/2006
Snow Crash,Neal Stephenson/Guy Abadia,4.03,eng,438,188100,8/2/2000
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,4.16,eng,450,1474,6/1/2005
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,4.24,eng,381,1929,12/1/2004
The Design of Everyday Things,Donald A. Norman,4.17,eng,240,18602,9/19/2002
Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,3.95,eng,272,3702,5/11/2005
The Psychology of Everyday Things,Donald A. Norman,4.17,eng,257,265,6/13/1988
No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,4.27,en-GB,259,51,4/30/2006
The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce,3.86,eng,197,1631221,5/1/1993
Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,4.57,eng,192,9013,9/19/2006
Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,4.56,eng,192,16666,9/13/2005
Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,4.57,eng,192,11451,7/18/2006
Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,4.5,eng,192,111091,5/3/2005
Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,4.55,eng,200,10752,11/8/2005
The Illustrated Alchemist: A Fable about Following Your Dream,Paulo Coelho/Alan R. Clarke/Mœbius,3.86,en-US,198,251,11/1/1998
Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe,4.52,eng,192,14923,7/5/2005
Pompeii,Robert   Harris,3.82,eng,274,26922,11/8/2005
The Last Days of Pompeii,Edward Bulwer-Lytton/John Gregory Betancourt,3.6,eng,360,1156,12/3/2002
Of Mice and Men,John Steinbeck,3.87,eng,103,1755253,1/8/2002
The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,3.74,en-US,464,20529,9/6/2005
The Westing Game,Ellen Raskin,4.02,eng,182,142121,4/12/2004
The Egypt Game,Zilpha Keatley Snyder,3.83,eng,215,30231,7/7/2009
Memoirs of a Geisha,Arthur Golden,4.11,eng,497,4189,6/4/1998
Memoirs of a Geisha: A Portrait of the Film,David        James/Peggy Mulloy/Rob Marshall/Arthur Golden,4.08,eng,144,145,10/20/2005
Geisha of Gion,Mineko Iwasaki/Rande Brown,3.93,eng,334,1556,5/6/2003
Love As A Foreign Language #5,J. Torres/Eric  Kim,3.44,eng,58,9,2/1/2006
Jungle Love,Margaret Johnson/Philip Prowse,3.41,eng,95,59,8/1/2002
The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,4.7,eng,0,22,1/1/2005
Angels & Demons (Robert Langdon  #1),Dan Brown,3.89,eng,736,2418736,4/1/2006
The Da Vinci Code (Robert Langdon  #2),Dan Brown,3.84,eng,489,1679706,3/28/2006
The Da Vinci Code,Dan Brown,3.84,eng,467,1120,3/28/2006
Da Vinci Code (Robert Langdon  #2),Dan Brown/Daniel Roche,3.84,fre,744,377,5/3/2005
Deception Point,Dan Brown,3.71,eng,448,61,8/1/2005
A Killing Rain (Louis Kincaid  #6),P.J. Parrish,4.04,eng,383,456,2/1/2005
The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley/William D. Danko,4.03,eng,258,61760,10/1/1998
Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,4.18,eng,320,88897,9/1/2005
Think and Grow Rich,Napoleon Hill,4.18,eng,368,48,8/7/2004
